TRANSACTION_NUMBER,PROJECT_EN,AREA_EN,ROOMS_EN,IS_OFFPLAN_EN,TRANS_VALUE,price_per_sqft,fair_value,valuation_gap_aed,valuation_gap_pct,risk_adjusted_gap_pct,opportunity_score,confidence_score,opportunity,final_signal,INSTANCE_DATE,PROP_TYPE_EN,PROP_SB_TYPE_EN,data_quality,model_risk_pct,fair_value_ratio,valuation_gap_pct_capped
102-61984-2026,Azizi Milan 55,CITY OF ARABIA,1 B/R,Off-Plan,500000.0,752.1302615483044,1001397.3,501397.3125,50.06976813710992,40.06976813710992,0.8202599208365876,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-14 11:57:18,Unit,Flat,VALID,10.0,2.002794625,50.0
102-68026-2026,RAW DISTRICT BY IMTIAZ R,Jabal Ali Industrial Second,Studio,Off-Plan,748499.48,664.163748093101,1375496.4,626996.895,45.58331860380221,35.58331860380221,0.8019513304431948,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-08-01 16:06:22,Unit,Flat,VALID,10.0,1.8376717843544794,45.58331860380221
102-72162-2026,Bugatti Residences by Binghatti,BUSINESS BAY,3 B/R,Off-Plan,18020000.0,3161.629432709801,38098830.0,20078832.0,52.701962096895784,42.701962096895784,0.7781480740496008,65,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-17 15:14:16,Unit,Flat,VALID,10.0,2.1142526082130964,50.0
102-70943-2026,AZIZI VENICE 10,Madinat Al Mataar,1 B/R,Off-Plan,1050000.0,653.0210630724922,1717672.9,667672.875,38.87078178375496,28.870781783754957,0.7754567401351031,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-08-12 12:01:53,Unit,Flat,VALID,10.0,1.6358789285714286,38.87078178375496
102-69568-2026,AZIZI VENICE 10,Madinat Al Mataar,1 B/R,Off-Plan,985050.0,884.6227947254246,1610463.5,625413.5,38.83437904677753,28.834379046777528,0.7752720516711601,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-08-06 17:28:36,Unit,Flat,VALID,10.0,1.634905334754581,38.83437904677753
102-67286-2026,RAW DISTRICT BY IMTIAZ R,Jabal Ali Industrial Second,1 B/R,Off-Plan,704820.85,999.6956181423218,1235366.9,530546.025,42.946434434709936,32.946434434709936,0.7736691188114738,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-30 15:08:34,Unit,Flat,VALID,10.0,1.7527388342725674,42.946434434709936
102-67589-2026,RAFFI BY AZIZI,AL FURJAN,1 B/R,Off-Plan,497000.0,859.6696250885112,962942.5,465942.5,48.3873647699629,38.3873647699629,0.7561934995248419,70,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-03 09:06:31,Unit,Flat,VALID,10.0,1.937510060362173,48.3873647699629
102-72089-2026,SOBHA ONE,Ras Al Khor Industrial First,2 B/R,Off-Plan,1193082.0,1069.9976062848061,2535481.2,1342399.25,52.944554411514574,42.944554411514574,0.7444574274966022,60,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-17 12:41:28,Unit,Flat,VALID,10.0,2.125152546094904,50.0
102-63844-2026,Binghatti Luxuria,JUMEIRAH VILLAGE TRIANGLE,1 B/R,Off-Plan,800000.0,1059.781889707076,1375084.6,575084.625,41.82176242425807,31.82176242425807,0.7374567133016482,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-20 15:16:32,Unit,Flat,VALID,10.0,1.71885578125,41.82176242425807
102-61360-2026,azizi venice 13 ,Madinat Al Mataar,1 B/R,Off-Plan,1039500.0,850.1875476516523,1509695.0,470195.0,31.14503260592371,21.14503260592371,0.725286260664357,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-12 08:36:29,Unit,Flat,VALID,10.0,1.4523280423280422,31.14503260592371
102-67666-2026,OMYA RESIDENCES,Jabal Ali First,1 B/R,Off-Plan,961926.0,803.7227820702267,1585775.2,623849.25,39.340332118312475,29.340332118312475,0.7237711577935043,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-31 14:06:46,Unit,Flat,VALID,10.0,1.6485418317001517,39.340332118312475
102-70350-2026,Rome 3 by SD ,Wadi Al Safa 3,2 B/R,Off-Plan,902866.79,782.454763802112,1616105.4,713238.585,44.133173246824946,34.133173246824946,0.7080018027015916,70,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-10 17:32:06,Unit,Flat,VALID,10.0,1.7899710044712132,44.133173246824946
102-69681-2026,RAW DISTRICT BY IMTIAZ R,Jabal Ali Industrial Second,3 B/R,Off-Plan,1970124.98,1005.2769646228122,2942654.8,972529.77,33.0494010552886,23.049401055288598,0.7071387396727272,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-08-07 08:17:58,Unit,Flat,VALID,10.0,1.4936386167744546,33.0494010552886
102-65381-2026,AZIZI VENICE 7,Madinat Al Mataar,1 B/R,Off-Plan,850000.0,1240.0700442914504,1209622.0,359622.0,29.73011403562435,19.73011403562435,0.704307671107037,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-24 14:57:50,Unit,Flat,VALID,10.0,1.423084705882353,29.73011403562435
102-70351-2026,Rome 3 by SD ,Wadi Al Safa 3,2 B/R,Off-Plan,916178.08,782.4582752682365,1620408.0,704229.92,43.46003722519267,33.46003722519267,0.7032155885243949,70,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-10 17:34:12,Unit,Flat,VALID,10.0,1.7686605206708286,43.46003722519267
102-68413-2026,Elanora by zoya,DUBAI INDUSTRIAL CITY,Studio,Off-Plan,400000.0,909.4775321238037,702404.4,302404.375,43.052746503750065,33.052746503750065,0.6965476615610267,70,HIGH OPPORTUNITY,BROAD OPPORTUNITY,2026-08-03 19:49:19,Unit,Flat,VALID,10.0,1.7560109375,43.052746503750065
102-66417-2026,AZIZI VENICE 7,Madinat Al Mataar,Studio,Off-Plan,480000.0,1364.1328343558994,671869.5,191869.5,28.55755470370362,18.55755470370362,0.6957730464385844,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-07-28 12:52:21,Unit,Flat,VALID,10.0,1.399728125,28.55755470370362
102-68771-2026,RAW DISTRICT BY IMTIAZ R,Jabal Ali Industrial Second,3 B/R,Off-Plan,1965059.48,1119.9323731325337,2875878.5,910819.02,31.670984014102128,21.670984014102128,0.6934342851424555,80,HIGH OPPORTUNITY,CONSERVATIVE OPPORTUNITY,2026-08-04 17:27:40,Unit,Flat,VALID,10.0,1.4635070995408241,31.670984014102128
