AREA_EN,last_area_date,area_90d_median_ppsf,area_90d_transaction_count,log_area_90d_count
Island 2,2026-01-23 10:12:35,,,
JUMEIRA BAY,2026-05-21 14:57:00,10837.494323049536,1.0,0.6931471805599453
TECOM SITE D,2026-05-22 10:54:24,2618.147046617863,1.0,0.6931471805599453
AL WAHA,2026-06-25 14:12:41,926.4257267080991,2.0,1.0986122886681098
DUBAI HEALTHCARE CITY - PHASE 1,2026-07-07 11:37:16,1938.5665183343742,2.0,1.0986122886681098
DUBAI WATER FRONT,2026-07-08 13:01:14,745.3831008005568,1.0,0.6931471805599453
MUDON,2026-07-09 15:41:43,1370.967935524453,4.0,1.6094379124341003
Warsan Fourth,2026-07-17 17:00:52,,,
Al Qusais Industrial Fourth,2026-07-18 10:25:45,886.6682599766903,1.0,0.6931471805599453
Saih Shuaib 2,2026-07-22 10:51:03,,,
Wadi Al Safa 2,2026-07-24 16:27:59,1073.7063504300042,7.0,2.0794415416798357
Muhaisanah First,2026-07-27 13:43:59,1354.1743299533057,9.0,2.302585092994046
PEARL JUMEIRA,2026-07-29 15:36:35,,,
JUMEIRAH HEIGHTS,2026-07-29 17:09:51,2461.404657807572,18.0,2.9444389791664403
THE LAKES,2026-07-30 09:59:34,2387.677605328852,10.0,2.3978952727983707
Al Kheeran,2026-07-31 11:25:59,1272.0941611247556,7.0,2.0794415416798357
Nad Al Shiba First,2026-07-31 12:11:20,2145.3436072089016,23.0,3.1780538303479458
Nad Al Hamar,2026-08-01 11:21:19,1157.1343892453121,18.0,2.9444389791664403
Al Barshaa South Third,2026-08-04 12:49:55,966.8041108366898,1.0,0.6931471805599453
DUBAI DESIGN DISTRICT,2026-08-04 15:11:07,2519.130847383697,4.0,1.6094379124341003
Zaabeel First,2026-08-04 15:33:42,2953.7696812828585,20.0,3.044522437723423
JUMEIRAH GOLF,2026-08-05 10:40:53,1379.508624059668,15.0,2.772588722239781
LA MER,2026-08-06 14:14:15,2772.5010090496035,20.0,3.044522437723423
SUFOUH GARDENS,2026-08-07 15:15:22,1621.3189544748145,14.0,2.70805020110221
MINA RASHID,2026-08-07 15:46:05,2313.723352197328,4.0,1.6094379124341003
DUBAI LIFESTYLE CITY,2026-08-08 17:26:01,1472.995942336918,5.0,1.791759469228055
NAD AL SHEBA GARDENS,2026-08-10 13:13:59,2017.9625317804569,15.0,2.772588722239781
Trade Center First,2026-08-10 16:54:58,3331.6456314348106,37.0,3.6375861597263857
Al Kifaf,2026-08-11 08:28:32,2207.804331681501,72.0,4.290459441148391
Jumeirah Second,2026-08-11 09:22:15,8339.40311192247,19.0,2.995732273553991
Rega Al Buteen,2026-08-11 10:47:06,697.6891913620118,1.0,0.6931471805599453
Palm Jumeirah,2026-08-11 15:00:43,9863.901110152661,1.0,0.6931471805599453
Madinat Dubai Almelaheyah,2026-08-11 19:40:16,2915.000599756454,120.0,4.795790545596741
Mirdif,2026-08-12 08:42:01,1178.3693134375537,22.0,3.1354942159291497
Jumeirah First,2026-08-12 10:49:25,7565.20133931125,16.0,2.833213344056216
LIWAN 2,2026-08-12 10:57:57,1119.525378644686,3.0,1.3862943611198906
JADDAF WATERFRONT,2026-08-12 12:41:36,1819.107962962462,65.0,4.189654742026425
DUBAI HARBOUR,2026-08-12 17:17:39,3715.854952261334,57.0,4.060443010546419
DMCC-EZ2,2026-08-12 22:10:13,2905.01686425504,54.0,4.007333185232471
Palm Jabal Ali,2026-08-13 09:29:59,3560.6154008203703,156.0,5.056245805348308
MEYDAN AVENUE,2026-08-13 09:42:44,1755.66753663731,29.0,3.4011973816621555
Warsan First,2026-08-13 09:56:22,1369.1899106310784,212.0,5.3612921657094255
Wadi Al Safa 3,2026-08-13 11:52:49,1491.8253777907908,142.0,4.962844630259907
Al Barsha First,2026-08-13 11:54:46,1708.5846788276708,18.0,2.9444389791664403
TECOM SITE A,2026-08-13 12:08:02,2772.887274000932,27.0,3.332204510175204
Dubai Investment Park Second,2026-08-13 14:01:55,1436.0530081821976,95.0,4.564348191467836
FALCON CITY OF WONDERS,2026-08-13 14:41:36,1599.3312022672646,87.0,4.477336814478207
Al Jadaf,2026-08-13 16:25:05,1836.483912161039,19.0,2.995732273553991
AL KHAIL HEIGHTS,2026-08-13 16:37:57,983.037267588838,10.0,2.3978952727983707
Al Merkadh,2026-08-13 18:17:35,2001.9886356276306,28.0,3.367295829986474
JUMEIRAH LIVING,2026-08-13 19:50:15,2061.461651280876,4.0,1.6094379124341003
AL BARARI,2026-08-14 10:00:57,2786.133161620424,19.0,2.995732273553991
EMAAR SOUTH,2026-08-14 10:13:44,1241.2323783910156,12.0,2.5649493574615367
LIWAN,2026-08-14 12:05:21,1161.6280611934299,130.0,4.875197323201151
PALM JUMEIRAH,2026-08-14 12:55:40,3252.657143288542,196.0,5.2832037287379885
JUMEIRAH BEACH RESIDENCE,2026-08-14 14:46:49,1556.2609772502733,88.0,4.48863636973214
DOWN TOWN JABAL ALI,2026-08-14 15:12:38,1721.974996024449,562.0,6.333279628139691
Madinat Hind 4,2026-08-14 15:21:40,1259.6338633163145,24.0,3.2188758248682006
BLUEWATERS,2026-08-15 00:00:00,4590.249208143577,13.0,2.6390573296152584
Wadi Al Safa 4,2026-08-15 11:16:20,1812.5157312171068,219.0,5.393627546352362
Al Yufrah 1,2026-08-15 14:13:26,1874.9890104124572,61.0,4.127134385045092
SILICON OASIS,2026-08-15 15:49:30,1540.8389080426728,140.0,4.948759890378168
HORIZON,2026-08-17 08:37:02,2441.0408360952038,325.0,5.786897381366708
Al Khairan First,2026-08-17 09:21:47,2673.06055962436,175.0,5.170483995038151
